age,gender,split,final
36,M,1:15:37,2:33:37
44,M,1:16:08,2:33:45
26,M,1:16:15,2:33:49
42,M,1:15:33,2:33:53
36,M,1:15:17,2:33:56
42,M,1:15:37,2:33:59
35,M,1:15:30,2:34:03
26,M,1:12:56,2:34:05
26,M,1:15:19,2:34:06
35,W,1:14:29,2:34:11
28,M,1:13:13,2:34:15
41,M,1:16:56,2:34:18
25,M,1:14:28,2:34:21
33,M,1:13:30,2:34:31
25,M,1:13:51,2:34:33
41,M,1:15:41,2:34:37
36,M,1:14:58,2:34:40
31,M,1:13:32,2:34:41
24,M,1:15:26,2:34:42
34,M,1:15:19,2:34:57
36,W,1:15:38,2:34:58
23,M,1:15:09,2:35:01
35,M,1:15:10,2:35:04
34,M,1:14:00,2:35:05
34,W,1:15:24,2:35:10
38,M,1:12:39,2:35:10
26,M,1:15:25,2:35:21
41,M,1:17:40,2:35:27
27,M,1:16:36,2:35:28
36,W,1:15:19,2:35:28
35,M,1:15:12,2:35:30
34,M,1:14:15,2:35:33
24,M,1:15:14,2:35:35
28,M,1:15:55,2:35:46
28,M,1:15:25,2:35:55
24,M,1:14:33,2:35:57
34,M,1:16:03,2:36:04
38,M,1:15:09,2:36:05
31,M,1:17:28,2:36:08
24,M,1:18:45,2:36:09
38,M,1:13:44,2:36:11
34,M,1:17:16,2:36:16
32,M,1:17:28,2:36:19
29,M,1:16:53,2:36:33
27,M,1:17:19,2:36:33
28,M,1:16:59,2:36:35
35,M,1:15:45,2:36:38
30,M,1:16:33,2:36:42
31,M,1:14:55,2:36:42
29,M,1:18:40,2:36:42
33,M,1:16:46,2:36:43
23,M,1:14:12,2:36:44
37,M,1:16:23,2:36:45
26,M,1:18:07,2:36:49
24,M,1:18:47,2:36:50
38,M,1:10:04,2:36:50
33,M,1:15:27,2:37:03
41,M,1:18:19,2:37:05
26,M,1:17:46,2:37:05
26,M,1:17:20,2:37:20
45,M,1:16:57,2:37:20
30,M,1:16:27,2:37:23
36,M,1:16:58,2:37:25
33,M,1:13:59,2:37:32
33,M,1:13:06,2:37:45
35,M,1:17:31,2:37:53
40,M,1:16:21,2:37:54
37,M,1:10:10,2:37:56
34,M,1:19:48,2:38:00
32,M,1:15:30,2:38:01
35,M,1:19:03,2:38:02
38,M,1:17:28,2:38:12
32,M,1:12:19,2:38:22
40,M,1:17:41,2:38:29
26,M,1:16:14,2:38:52
31,M,1:17:42,2:38:54
22,M,1:19:04,2:38:55
46,M,1:14:53,2:38:59
26,M,1:13:30,2:39:04
29,M,1:20:33,2:39:07
28,M,1:17:48,2:39:08
32,M,1:17:30,2:39:12
31,W,1:17:08,2:39:15
33,M,1:16:54,2:39:19
27,M,1:19:23,2:39:21
22,M,1:17:25,2:39:29
30,M,1:16:47,2:39:36
37,M,1:15:40,2:39:44
26,M,1:14:07,2:39:50
40,M,1:18:24,2:39:51
44,M,1:16:59,2:39:52
23,M,1:18:46,2:39:56
40,M,1:17:58,2:39:59
23,M,1:18:15,2:39:59
40,M,1:19:28,2:40:01
46,M,1:15:09,2:40:03
32,M,1:17:44,2:40:04
28,M,1:21:02,2:40:05
27,M,1:19:37,2:40:07
40,M,1:19:01,2:40:09
33,M,1:19:48,2:40:09
40,M,1:17:47,2:40:11
23,W,1:20:25,2:40:12
38,M,1:19:53,2:40:15
35,M,1:18:50,2:40:26
30,M,1:18:52,2:40:31
33,M,1:18:35,2:40:32
26,M,1:16:02,2:40:41
24,M,1:18:35,2:40:47
53,M,1:15:11,2:40:49
37,M,1:17:57,2:40:51
34,M,1:17:42,2:40:53
31,M,1:17:57,2:40:56
42,M,1:20:09,2:41:00
41,M,1:19:48,2:41:16
35,W,1:18:19,2:41:16
44,M,1:19:12,2:41:17
33,M,1:14:57,2:41:17
36,M,1:18:39,2:41:25
44,M,1:19:34,2:41:26
34,M,1:18:47,2:41:32
39,M,1:14:44,2:41:33
30,M,1:18:28,2:41:36
40,M,1:18:15,2:41:59
32,M,1:17:29,2:42:01
18,W,1:18:03,2:42:06
40,M,1:17:48,2:42:06
25,M,1:19:00,2:42:08
31,M,1:15:20,2:42:10
44,M,1:19:47,2:42:10
34,M,1:20:32,2:42:14
42,M,1:18:48,2:42:14
27,M,1:17:49,2:42:15
36,M,1:20:06,2:42:19
27,W,1:22:19,2:42:23
27,M,1:17:49,2:42:27
27,M,1:22:18,2:42:27
40,M,1:20:40,2:42:33
35,M,1:20:04,2:42:34
35,M,1:18:06,2:42:35
32,M,1:25:19,2:42:35
25,M,1:20:04,2:42:36
38,M,1:16:24,2:42:37
24,M,1:16:21,2:42:38
29,M,1:20:31,2:42:39
30,M,1:18:09,2:42:41
27,M,1:19:50,2:42:42
25,M,1:20:50,2:42:42
40,M,1:18:42,2:42:44
36,M,1:21:25,2:42:46
33,M,1:21:50,2:42:48
38,M,1:19:13,2:42:50
38,M,1:17:13,2:42:51
41,M,1:19:56,2:42:54
29,M,1:20:18,2:43:00
57,M,1:19:05,2:43:06
44,M,1:20:23,2:43:17
27,M,1:15:19,2:43:18
52,M,1:20:44,2:43:25
44,M,1:20:41,2:43:30
40,M,1:20:31,2:43:30
36,M,1:20:03,2:43:32
32,M,1:20:34,2:43:34
33,M,1:18:50,2:43:34
27,W,1:21:03,2:43:36
52,M,1:19:26,2:43:37
30,M,1:18:37,2:43:38
33,W,1:18:51,2:43:40
41,M,1:19:07,2:43:40
29,M,1:19:48,2:43:41
35,M,1:19:17,2:43:41
27,M,1:18:22,2:43:43
29,W,1:20:48,2:43:43
45,M,1:18:03,2:43:48
32,M,1:20:25,2:43:49
49,M,1:20:02,2:43:55
34,M,1:19:42,2:43:57
31,M,1:17:36,2:44:03
39,M,1:18:57,2:44:06
28,M,1:18:41,2:44:10
24,M,1:19:01,2:44:10
50,M,1:19:53,2:44:13
25,M,1:20:28,2:44:16
30,M,1:17:20,2:44:16
33,M,1:18:15,2:44:21
29,M,1:21:31,2:44:22
48,M,1:19:56,2:44:23
24,M,1:15:31,2:44:29
28,M,1:19:05,2:44:34
34,M,1:18:30,2:44:36
24,M,1:20:09,2:44:44
42,M,1:20:31,2:44:47
24,M,1:18:49,2:44:48
33,M,1:21:02,2:44:51
24,M,1:20:44,2:44:56
44,M,1:22:46,2:45:00
32,M,1:18:16,2:45:02
30,W,1:20:55,2:45:02
37,M,1:18:08,2:45:04
32,M,1:18:44,2:45:08
31,M,1:23:44,2:45:13
45,M,1:21:13,2:45:14
27,M,1:18:08,2:45:19
27,M,1:22:22,2:45:23
27,M,1:18:26,2:45:24
25,M,1:18:01,2:45:25
49,M,1:20:34,2:45:25
37,M,1:19:36,2:45:27
39,M,1:22:49,2:45:28
31,M,1:19:50,2:45:35
32,M,1:20:15,2:45:36
40,M,1:19:07,2:45:41
31,M,1:18:47,2:45:41
35,M,1:20:56,2:45:42
36,M,1:22:05,2:45:45
39,M,1:22:37,2:45:46
34,M,1:20:08,2:45:50
41,M,1:20:12,2:45:54
22,M,1:15:58,2:45:54
39,M,1:20:40,2:45:56
43,M,1:18:11,2:45:56
31,M,1:22:00,2:45:57
32,M,1:15:20,2:45:58
38,M,1:19:30,2:45:59
28,M,1:20:14,2:46:00
31,M,1:21:43,2:46:00
29,M,1:15:47,2:46:00
39,M,1:19:16,2:46:12
36,M,1:17:41,2:46:13
31,M,1:20:34,2:46:20
33,M,1:21:13,2:46:20
36,M,1:22:47,2:46:26
41,M,1:21:43,2:46:34
43,M,1:20:14,2:46:36
35,M,1:20:38,2:46:38
39,W,1:21:00,2:46:46
32,M,1:17:37,2:46:47
23,M,1:13:40,2:46:47
30,W,1:21:29,2:46:48
31,M,1:23:43,2:46:48
23,W,1:20:48,2:46:50
49,M,1:22:17,2:46:51
36,M,1:21:55,2:46:51
41,M,1:18:34,2:46:52
42,M,1:21:43,2:47:00
38,M,1:22:23,2:47:00
38,M,1:24:03,2:47:06
32,M,1:17:41,2:47:14
27,M,1:21:40,2:47:16
46,M,1:20:30,2:47:22
41,M,1:14:49,2:47:22
39,M,1:22:40,2:47:25
40,M,1:19:21,2:47:25
30,M,1:21:36,2:47:28
25,M,1:20:23,2:47:28
28,M,1:23:24,2:47:31
27,M,1:22:10,2:47:33
27,M,1:14:52,2:47:34
37,M,1:22:00,2:47:36
45,M,1:22:52,2:47:37
41,M,1:22:03,2:47:37
37,M,1:18:08,2:47:37
29,M,1:21:30,2:47:39
35,M,1:22:21,2:47:40
40,M,1:20:31,2:47:42
37,M,1:18:52,2:47:44
39,W,1:20:53,2:47:45
44,M,1:23:37,2:47:48
37,M,1:19:19,2:47:49
26,M,1:24:09,2:47:50
44,M,1:25:37,2:47:51
33,M,1:20:43,2:47:51
31,M,1:23:08,2:47:52
26,M,1:24:51,2:47:59
37,M,1:21:28,2:48:02
47,M,1:23:27,2:48:03
29,M,1:21:20,2:48:06
45,M,1:23:08,2:48:07
40,M,1:21:50,2:48:08
26,M,1:21:57,2:48:09
29,M,1:19:03,2:48:10
47,M,1:23:24,2:48:11
32,M,1:22:17,2:48:18
40,M,1:22:19,2:48:18
40,M,1:21:58,2:48:18
39,M,1:19:58,2:48:20
28,M,1:23:22,2:48:21
34,M,1:17:36,2:48:24
38,M,1:21:00,2:48:26
33,M,1:20:37,2:48:26
56,M,1:21:13,2:48:30
44,M,1:22:10,2:48:31
31,M,1:14:35,2:48:31
34,M,1:25:35,2:48:34
43,M,1:24:12,2:48:37
24,M,1:21:09,2:48:42
36,M,1:22:26,2:48:44
26,M,1:17:09,2:48:45
45,M,1:24:57,2:48:47
45,M,1:23:34,2:48:48
25,M,1:25:44,2:48:56
28,M,1:18:38,2:48:58
35,M,1:24:00,2:48:58
35,M,1:22:50,2:49:00
38,M,1:15:49,2:49:00
24,M,1:22:35,2:49:02
37,M,1:22:03,2:49:02
40,M,1:22:38,2:49:02
36,M,1:20:26,2:49:03
40,M,1:22:57,2:49:07
34,M,1:23:34,2:49:09
30,M,1:23:59,2:49:10
33,M,1:23:29,2:49:10
41,M,1:19:02,2:49:12
44,M,1:21:01,2:49:13
57,M,1:21:57,2:49:16
36,M,1:21:47,2:49:20
27,M,1:22:31,2:49:23
30,M,1:20:14,2:49:27
28,W,1:22:12,2:49:29
48,M,1:22:56,2:49:29
37,M,1:17:03,2:49:31
45,M,1:22:27,2:49:31
21,M,1:23:40,2:49:34
32,M,1:22:22,2:49:34
49,M,1:22:00,2:49:36
27,M,1:24:32,2:49:36
22,M,1:20:35,2:49:37
28,M,1:22:16,2:49:40
25,W,1:18:00,2:49:41
40,M,1:23:23,2:49:46
43,M,1:21:41,2:49:48
52,M,1:23:05,2:49:49
23,M,1:15:55,2:49:50
41,M,1:19:34,2:49:51
41,M,1:24:05,2:49:51
51,M,1:23:47,2:49:58
37,M,1:24:22,2:49:58
34,M,1:22:07,2:49:58
47,M,1:24:50,2:50:04
49,M,1:22:00,2:50:06
41,M,1:23:36,2:50:08
37,M,1:19:50,2:50:09
38,M,1:20:59,2:50:10
30,M,1:22:46,2:50:11
43,M,1:21:30,2:50:14
46,M,1:24:00,2:50:14
42,M,1:21:24,2:50:16
37,M,1:18:27,2:50:17
51,M,1:24:10,2:50:19
37,M,1:21:06,2:50:20
24,M,1:23:52,2:50:21
49,M,1:22:50,2:50:22
38,W,1:24:26,2:50:23
36,M,1:25:35,2:50:24
32,M,1:23:21,2:50:26
43,M,1:22:58,2:50:28
38,M,1:23:06,2:50:29
27,M,1:18:15,2:50:29
42,M,1:22:21,2:50:29
48,M,1:22:25,2:50:29
23,M,1:17:11,2:50:30
38,M,1:25:20,2:50:32
29,M,1:23:43,2:50:32
32,M,1:18:56,2:50:36
29,M,1:15:17,2:50:40
40,M,1:21:48,2:50:47
49,M,1:24:49,2:50:48
26,M,1:23:01,2:50:50
24,M,1:20:40,2:50:53
34,W,1:24:13,2:50:53
34,M,1:19:47,2:50:55
40,M,1:25:17,2:50:57
30,M,1:25:17,2:50:57
20,M,1:21:48,2:50:57
27,M,1:21:05,2:50:58
38,M,1:22:30,2:51:00
39,M,1:21:50,2:51:01
28,M,1:20:33,2:51:01
35,M,1:20:24,2:51:01
39,M,1:23:38,2:51:01
41,M,1:23:35,2:51:03
41,M,1:24:03,2:51:03
28,M,1:24:34,2:51:05
31,M,1:23:54,2:51:08
34,M,1:17:57,2:51:10
30,M,1:22:13,2:51:11
39,M,1:24:31,2:51:15
26,M,1:26:00,2:51:16
41,M,1:22:12,2:51:17
40,M,1:24:45,2:51:17
27,M,1:20:35,2:51:19
37,M,1:22:17,2:51:19
38,M,1:22:39,2:51:20
39,M,1:20:57,2:51:21
41,W,1:24:18,2:51:25
52,M,1:23:09,2:51:26
42,M,1:25:35,2:51:27
36,M,1:23:38,2:51:28
31,M,1:25:06,2:51:29
42,M,1:23:25,2:51:29
28,M,1:23:52,2:51:31
41,M,1:22:21,2:51:32
42,M,1:21:49,2:51:33
36,W,1:22:16,2:51:34
48,M,1:23:37,2:51:35
30,M,1:22:43,2:51:38
35,M,1:23:52,2:51:38
34,M,1:22:44,2:51:40
21,M,1:23:34,2:51:41
44,M,1:19:33,2:51:41
50,M,1:22:24,2:51:42
40,M,1:23:57,2:51:42
40,M,1:24:54,2:51:44
31,M,1:22:30,2:51:47
28,M,1:23:01,2:51:49
38,M,1:24:29,2:51:51
28,M,1:23:46,2:51:52
35,M,1:21:22,2:51:54
21,M,1:20:04,2:51:55
28,M,1:22:53,2:51:57
31,W,1:25:52,2:51:58
39,M,1:23:17,2:51:58
42,M,1:19:36,2:51:59
34,M,1:23:33,2:51:59
46,M,1:24:50,2:51:59
22,W,1:25:11,2:52:01
35,M,1:25:40,2:52:06
44,M,1:24:36,2:52:07
52,M,1:23:02,2:52:08
47,M,1:21:52,2:52:08
50,M,1:24:50,2:52:10
43,M,1:19:34,2:52:14
49,M,1:24:24,2:52:14
40,M,1:21:57,2:52:14
29,M,1:21:54,2:52:15
33,W,1:26:52,2:52:18
33,M,1:26:31,2:52:18
34,M,1:24:20,2:52:21
53,M,1:23:43,2:52:24
27,M,1:26:18,2:52:25
38,M,1:23:07,2:52:25
33,M,1:27:03,2:52:25
40,M,1:24:56,2:52:27
25,M,1:25:50,2:52:27
25,M,1:26:01,2:52:27
30,M,1:26:25,2:52:28
35,M,1:24:14,2:52:28
29,M,1:22:30,2:52:31
37,M,1:16:49,2:52:31
34,M,1:21:54,2:52:31
27,W,1:25:05,2:52:33
33,M,1:23:51,2:52:34
38,M,1:23:17,2:52:36
39,M,1:25:06,2:52:38
28,M,1:23:41,2:52:39
43,M,1:24:17,2:52:43
51,M,1:22:12,2:52:44
32,W,1:24:21,2:52:44
36,M,1:24:59,2:52:45
44,M,1:25:57,2:52:46
51,M,1:24:27,2:52:48
31,M,1:24:15,2:52:49
39,W,1:25:10,2:52:50
39,M,1:23:18,2:52:51
30,M,1:25:00,2:52:53
44,M,1:23:08,2:52:56
49,M,1:24:32,2:52:57
37,M,1:22:46,2:53:00
30,M,1:23:13,2:53:03
33,M,1:22:00,2:53:04
39,M,1:24:21,2:53:05
40,M,1:23:26,2:53:06
32,M,1:22:55,2:53:06
40,M,1:24:40,2:53:06
31,M,1:22:51,2:53:10
25,M,1:21:25,2:53:12
36,M,1:15:26,2:53:14
41,M,1:20:48,2:53:17
29,M,1:22:23,2:53:17
38,M,1:24:56,2:53:21
42,M,1:24:34,2:53:25
26,M,1:23:46,2:53:25
37,M,1:22:45,2:53:25
42,M,1:21:36,2:53:26
38,M,1:21:43,2:53:27
47,M,1:22:27,2:53:28
45,M,1:23:36,2:53:28
35,M,1:24:24,2:53:29
30,M,1:26:26,2:53:31
23,M,1:24:01,2:53:31
31,M,1:27:01,2:53:32
41,M,1:26:28,2:53:35
31,M,1:22:26,2:53:40
44,M,1:21:30,2:53:43
32,M,1:24:29,2:53:44
46,M,1:24:02,2:53:45
38,M,1:25:07,2:53:46
44,M,1:23:49,2:53:47
51,M,1:25:36,2:53:47
32,M,1:26:08,2:53:48
33,M,1:26:17,2:53:48
29,W,1:28:06,2:53:50
50,M,1:22:43,2:53:52
45,M,1:23:54,2:53:52
39,M,1:23:30,2:53:54
30,M,1:23:24,2:53:55
30,M,1:27:32,2:53:55
30,W,1:24:16,2:53:59
40,M,1:19:40,2:53:59
28,M,1:24:38,2:53:59
27,M,1:18:43,2:54:01
33,M,1:20:17,2:54:02
27,W,1:24:40,2:54:04
42,M,1:26:39,2:54:04
45,M,1:25:12,2:54:05
39,M,1:24:16,2:54:06
44,M,1:23:10,2:54:07
36,M,1:25:05,2:54:07
33,M,1:22:43,2:54:08
44,M,1:26:03,2:54:09
42,M,1:26:13,2:54:11
37,M,1:24:58,2:54:11
25,M,1:22:53,2:54:14
25,W,1:25:23,2:54:18
45,M,1:22:35,2:54:21
31,M,1:25:47,2:54:22
44,M,1:24:01,2:54:22
34,M,1:27:01,2:54:24
39,W,1:26:15,2:54:24
46,M,1:23:12,2:54:31
36,M,1:26:29,2:54:31
39,M,1:25:11,2:54:31
32,M,1:25:26,2:54:32
45,M,1:25:01,2:54:35
49,M,1:26:34,2:54:39
39,M,1:26:25,2:54:40
37,M,1:22:26,2:54:42
28,M,1:24:11,2:54:42
24,M,1:23:15,2:54:42
39,M,1:25:35,2:54:45
43,M,1:25:14,2:54:46
37,M,1:26:05,2:54:47
33,M,1:26:52,2:54:49
35,M,1:23:24,2:54:50
32,W,1:27:49,2:54:51
46,M,1:25:28,2:54:52
44,M,1:24:52,2:54:55
39,W,1:24:03,2:54:55
24,M,1:21:11,2:54:57
27,M,1:23:16,2:54:57
28,W,1:26:08,2:54:58
41,W,1:24:55,2:55:02
41,M,1:22:21,2:55:03
35,M,1:25:44,2:55:04
40,M,1:24:15,2:55:04
34,M,1:25:07,2:55:04
39,M,1:21:54,2:55:06
40,M,1:24:15,2:55:06
25,M,1:27:42,2:55:09
51,M,1:25:02,2:55:12
43,M,1:24:33,2:55:15
42,M,1:22:47,2:55:16
45,M,1:23:32,2:55:18
29,M,1:18:41,2:55:18
52,M,1:24:57,2:55:21
25,W,1:25:41,2:55:23
37,M,1:23:29,2:55:23
25,M,1:24:21,2:55:23
32,M,1:26:30,2:55:25
40,M,1:23:39,2:55:25
37,M,1:25:30,2:55:25
29,M,1:29:45,2:55:25
42,M,1:23:58,2:55:28
39,M,1:22:23,2:55:30
45,M,1:26:16,2:55:32
40,M,1:27:03,2:55:32
48,M,1:26:08,2:55:33
42,M,1:23:23,2:55:35
32,M,1:22:28,2:55:37
30,M,1:24:06,2:55:38
50,M,1:25:00,2:55:41
32,W,1:25:40,2:55:42
33,M,1:26:35,2:55:43
49,M,1:25:19,2:55:43
38,W,1:26:36,2:55:43
51,M,1:23:42,2:55:45
43,M,1:22:33,2:55:46
30,M,1:24:13,2:55:48
37,W,1:26:59,2:55:49
44,M,1:22:22,2:55:50
33,M,1:24:20,2:55:51
52,M,1:24:33,2:55:54
44,M,1:25:26,2:55:54
40,M,1:26:49,2:55:55
41,W,1:24:25,2:55:56
25,M,1:22:00,2:55:57
31,M,1:23:19,2:55:57
42,M,1:27:07,2:55:58
30,W,1:27:02,2:56:00
45,M,1:24:43,2:56:01
40,M,1:23:55,2:56:06
30,M,1:23:44,2:56:06
40,M,1:27:16,2:56:07
42,M,1:24:42,2:56:07
43,M,1:24:49,2:56:09
32,M,1:24:25,2:56:10
44,M,1:26:52,2:56:13
34,M,1:25:48,2:56:13
32,M,1:24:17,2:56:15
40,M,1:25:02,2:56:18
28,M,1:20:54,2:56:19
27,M,1:26:13,2:56:21
43,M,1:23:07,2:56:22
28,M,1:30:42,2:56:24
30,M,1:20:27,2:56:26
42,M,1:23:05,2:56:27
27,M,1:24:16,2:56:28
42,M,1:24:24,2:56:28
38,M,1:27:36,2:56:28
39,M,1:27:17,2:56:29
37,M,1:24:15,2:56:30
42,M,1:29:53,2:56:33
40,M,1:26:08,2:56:35
41,M,1:26:39,2:56:35
36,M,1:23:39,2:56:35
29,W,1:25:02,2:56:36
53,M,1:25:07,2:56:36
42,M,1:28:19,2:56:36
43,M,1:22:27,2:56:37
42,M,1:26:13,2:56:38
22,W,1:26:02,2:56:39
41,M,1:28:27,2:56:39
46,M,1:24:03,2:56:41
26,M,1:29:32,2:56:42
41,M,1:22:29,2:56:44
26,M,1:26:16,2:56:45
42,M,1:26:17,2:56:47
36,M,1:26:42,2:56:48
34,M,1:23:18,2:56:48
49,M,1:27:00,2:56:49
35,M,1:27:37,2:56:49
36,M,1:24:45,2:56:49
41,M,1:22:38,2:56:50
38,M,1:26:08,2:56:50
50,M,1:23:59,2:56:51
41,M,1:22:43,2:56:51
38,M,1:25:42,2:56:52
28,W,1:24:16,2:56:53
46,M,1:26:17,2:56:54
29,M,1:26:23,2:56:54
38,M,1:27:14,2:56:56
44,M,1:24:02,2:56:56
47,M,1:24:37,2:56:57
33,M,1:27:02,2:56:58
35,M,1:23:37,2:56:58
42,M,1:25:30,2:56:59
26,M,1:28:12,2:57:01
44,M,1:25:43,2:57:01
37,M,1:27:27,2:57:03
38,M,1:26:28,2:57:03
41,W,1:28:01,2:57:04
46,M,1:24:35,2:57:06
36,M,1:27:39,2:57:09
25,M,1:22:50,2:57:10
42,M,1:28:24,2:57:13
40,M,1:27:19,2:57:14
37,M,1:24:54,2:57:17
28,M,1:24:10,2:57:19
44,M,1:24:29,2:57:20
42,M,1:27:57,2:57:20
56,M,1:26:13,2:57:20
33,M,1:23:29,2:57:21
39,M,1:25:36,2:57:23
50,M,1:26:15,2:57:23
38,M,1:30:08,2:57:24
42,M,1:26:57,2:57:25
29,M,1:24:09,2:57:26
32,M,1:25:52,2:57:26
36,M,1:26:56,2:57:27
32,M,1:26:59,2:57:27
34,M,1:24:34,2:57:27
43,M,1:26:26,2:57:28
39,M,1:25:15,2:57:29
42,W,1:27:25,2:57:29
32,M,1:27:02,2:57:30
49,M,1:25:19,2:57:32
26,M,1:20:44,2:57:35
40,M,1:27:14,2:57:35
39,M,1:23:32,2:57:37
58,M,1:25:01,2:57:37
32,M,1:28:40,2:57:37
47,M,1:25:19,2:57:38
45,M,1:25:52,2:57:39
36,M,1:28:53,2:57:39
42,M,1:28:46,2:57:40
47,M,1:25:21,2:57:40
46,M,1:27:21,2:57:41
34,W,1:27:46,2:57:41
49,M,1:27:57,2:57:41
45,M,1:21:22,2:57:42
45,M,1:24:50,2:57:43
52,M,1:26:20,2:57:43
41,M,1:23:15,2:57:44
32,M,1:27:12,2:57:45
31,M,1:25:24,2:57:46
39,M,1:25:57,2:57:47
40,M,1:25:35,2:57:47
35,M,1:26:29,2:57:47
34,M,1:27:50,2:57:48
32,M,1:22:53,2:57:49
40,M,1:26:18,2:57:50
37,M,1:27:43,2:57:51
27,M,1:21:44,2:57:53
46,M,1:21:41,2:57:53
27,W,1:25:48,2:57:53
42,M,1:24:59,2:57:55
34,M,1:26:35,2:57:55
32,M,1:27:02,2:57:55
46,M,1:28:58,2:57:57
25,M,1:27:02,2:57:59
22,M,1:23:41,2:57:59
34,M,1:28:15,2:57:59
46,M,1:26:59,2:58:00
31,M,1:29:21,2:58:00
36,M,1:27:15,2:58:02
32,W,1:26:14,2:58:02
44,M,1:26:30,2:58:02
41,M,1:26:57,2:58:03
45,M,1:25:57,2:58:03
33,M,1:26:18,2:58:07
38,M,1:24:29,2:58:09
31,M,1:28:20,2:58:09
42,M,1:27:31,2:58:09
45,M,1:30:16,2:58:09
40,M,1:24:35,2:58:10
41,M,1:27:51,2:58:10
35,M,1:26:33,2:58:12
31,M,1:28:43,2:58:13
35,M,1:27:14,2:58:14
35,M,1:26:43,2:58:15
34,M,1:26:23,2:58:16
49,M,1:28:45,2:58:17
32,M,1:26:35,2:58:20
33,M,1:28:04,2:58:21
27,M,1:28:46,2:58:22
48,M,1:27:20,2:58:24
42,M,1:29:12,2:58:24
30,M,1:29:25,2:58:26
31,M,1:29:22,2:58:28
27,M,1:27:50,2:58:28
47,M,1:23:34,2:58:30
46,M,1:26:26,2:58:32
31,M,1:29:46,2:58:33
44,M,1:27:14,2:58:33
41,M,1:27:56,2:58:35
34,M,1:28:58,2:58:36
40,M,1:25:05,2:58:39
24,M,1:25:38,2:58:40
39,M,1:23:05,2:58:40
40,M,1:28:20,2:58:41
43,M,1:28:36,2:58:41
41,M,1:24:45,2:58:42
27,M,1:26:31,2:58:42
30,M,1:21:15,2:58:43
46,M,1:26:29,2:58:44
36,M,1:27:49,2:58:45
41,M,1:27:40,2:58:45
36,M,1:28:07,2:58:45
47,M,1:25:57,2:58:46
31,M,1:25:56,2:58:47
31,M,1:28:39,2:58:48
37,M,1:26:43,2:58:49
39,M,1:23:59,2:58:49
34,M,1:23:05,2:58:50
48,M,1:27:35,2:58:50
42,M,1:26:40,2:58:50
36,M,1:23:03,2:58:50
40,M,1:27:04,2:58:50
